,fold,grid_fold,lon,lat,date,tile_file,ref_1,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,ref_10,ref_11,Rainf_f_tavg,SWdown_f_tavg,Tair_f_tavg,grassland_pasture,corn,soybean,deciduous_forest,evergreen_forest,developed_open_space,woody_wetlands,open_water,alfalfa,developed_low_intensity,developed_med_intensity,missing_reflectance,SIF,num_soundings,coarse_sif,fraction_valid
368,1,3,-93.35970736463086,42.55067231048326,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,437.0400085449219,510.6300048828125,814.9400024414062,796.25,3399.4599609375,2803.3798828125,1965.22998046875,3024.360107421875,2997.320068359375,5.66492926736828e-05,298.37664794921875,294.9919128417969,0.009999999776482582,0.44999998807907104,0.2899999916553497,0.0,0.0,0.18000000715255735,0.0,0.0,0.0,0.07000000029802322,0.0,0.0,0.6306163805787154,1488.0,0.7268899763037964,1.0
371,1,3,-93.36240231048323,42.5479773646309,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,246.6000061035156,277.60000610351557,505.17999267578125,341.2900085449219,3175.56005859375,1938.8599853515625,1140.719970703125,3009.739990234375,2985.8798828125,5.638165384880267e-05,298.35467529296875,294.9979248046875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754245767598873,1522.0,0.7268899763037964,1.0
372,1,3,-93.35970736463086,42.5479773646309,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,290.69696044921875,333.7878723144531,575.7677001953125,460.2121276855469,3466.51513671875,2200.373779296875,1336.6363525390625,3015.25244140625,2989.858642578125,5.647440411848947e-05,298.3755798339844,294.9955139160156,0.0,0.8888888955116272,0.0,0.0,0.0,0.1111111119389534,0.0,0.0,0.0,0.0,0.0,0.0,0.7591393276125826,1518.0,0.7268899763037964,0.9900000095367432
375,1,3,-93.36240231048323,42.54528241877854,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,230.8999938964844,261.17999267578125,495.489990234375,312.3900146484375,3463.070068359375,1863.0400390625,989.0999755859376,3004.75,2981.6201171875,5.618248906102963e-05,298.3519287109375,295.00067138671875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7904167980919833,1576.0,0.7268899763037964,1.0
376,1,3,-93.35970736463086,42.54528241877854,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,268.79998779296875,306.6000061035156,565.6099853515625,400.6099853515625,3681.919921875,1997.8800048828125,1073.030029296875,3003.949951171875,2980.530029296875,5.627686914522201e-05,298.3730773925781,294.998291015625,0.0,0.8100000023841858,0.0,0.0,0.0,0.1899999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.7725324941015613,1583.0,0.7268899763037964,1.0
379,1,3,-93.36240231048323,42.542587472926186,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,296.9700012207031,337.5299987792969,565.0499877929688,436.010009765625,3082.60009765625,2036.43994140625,1283.4599609375,3022.110107421875,2995.840087890625,5.5983327911235385e-05,298.3491516113281,295.0035705566406,0.0,0.8999999761581421,0.0,0.0,0.0,0.07999999821186066,0.0,0.0,0.0,0.019999999552965164,0.0,0.0,0.7203753196510777,1608.0,0.7268899763037964,1.0
380,1,3,-93.35970736463086,42.542587472926186,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,284.0799865722656,324.510009765625,559.0800170898439,420.989990234375,3451.300048828125,2018.5999755859373,1154.3499755859375,3010.97998046875,2987.469970703125,5.6078893976518884e-05,298.3705139160156,295.00115966796875,0.029999999329447743,0.8500000238418579,0.0,0.0,0.0,0.119999997317791,0.0,0.0,0.0,0.0,0.0,0.0,0.7386555355465636,1527.0,0.7268899763037964,1.0
383,1,3,-93.36240231048323,42.539892527073825,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,264.35000610351557,301.9200134277344,525.739990234375,391.260009765625,3293.889892578125,2141.590087890625,1252.4100341796875,3024.280029296875,2997.389892578125,5.578417403739877e-05,298.34637451171875,295.0063171386719,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7929743239797041,1486.0,0.7268899763037964,1.0
384,1,3,-93.35970736463086,42.539892527073825,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,228.77999877929688,258.57000732421875,482.1900024414063,318.44000244140625,3698.2099609375,1906.7900390625,970.0900268554688,3005.570068359375,2982.659912109375,5.58809369977098e-05,298.367919921875,295.0040283203125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8239570101242703,1416.0,0.7268899763037964,1.0
387,1,3,-93.36240231048323,42.53719758122146,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,288.8800048828125,330.82000732421875,560.5599975585939,457.5400085449219,2992.159912109375,2306.8701171875,1472.3399658203125,3036.2099609375,3006.93994140625,5.5585009249625734e-05,298.3436584472656,295.0091857910156,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7217589785676216,1628.0,0.7268899763037964,1.0
388,1,3,-93.35970736463086,42.53719758122146,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,228.1499938964844,258.17999267578125,473.6400146484375,314.1499938964844,3504.7900390625,1861.8800048828125,972.8300170898438,3009.489990234375,2986.080078125,5.568297274294309e-05,298.36541748046875,295.0068054199219,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8232950741873053,1491.0,0.7268899763037964,1.0
391,1,3,-93.36240231048323,42.53450263536911,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,238.80999755859372,270.010009765625,481.0799865722656,341.010009765625,3087.409912109375,1912.1700439453125,1101.25,3020.18994140625,2993.7099609375,5.538584082387388e-05,298.3408508300781,295.0119934082031,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7446483705082972,1552.0,0.7268899763037964,1.0
392,1,3,-93.35970736463086,42.53450263536911,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,223.5353546142578,251.4545440673828,469.8484802246094,304.7272644042969,3286.888916015625,1789.8282470703125,951.5454711914062,3010.45458984375,2986.373779296875,5.548564877244644e-05,298.3627624511719,295.00970458984375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7852070363181115,1522.0,0.7268899763037964,0.9900000095367432
395,1,3,-93.36240231048323,42.53180768951675,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,220.12245178222656,247.86734008789062,451.153076171875,297.346923828125,3256.040771484375,1767.2652587890625,939.5203857421876,3011.48974609375,2986.846923828125,5.518730540643446e-05,298.3381652832031,295.0148010253906,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7779324583608966,1450.0,0.7268899763037964,0.9800000190734864
396,1,3,-93.35970736463086,42.53180768951675,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,213.3699951171875,239.8000030517578,457.7999877929688,289.3800048828125,3507.47998046875,1727.239990234375,862.6900024414062,3003.72998046875,2981.530029296875,5.5287036957452074e-05,298.3602294921875,295.012451171875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7980653801133706,1444.0,0.7268899763037964,1.0
399,1,3,-93.36240231048323,42.52911274366439,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,254.4900054931641,289.57000732421875,506.7799987792969,380.7699890136719,3085.820068359375,1999.75,1208.699951171875,3022.830078125,2997.489990234375,5.4987514886306606e-05,298.3353576660156,295.0176696777344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6675444944797959,1528.0,0.7268899763037964,1.0
400,1,3,-93.35970736463086,42.52911274366439,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,315.010009765625,364.6600036621094,603.0,541.0399780273439,3153.0400390625,2370.47998046875,1602.93994140625,3032.570068359375,3005.929931640625,5.5089076340664185e-05,298.35772705078125,295.015380859375,0.0,0.7200000286102295,0.2700000107288361,0.0,0.0,0.009999999776482582,0.0,0.0,0.0,0.0,0.0,0.0,0.5725494084652506,1533.0,0.7268899763037964,1.0
527,0,0,-91.0474472563356,41.05767252707383,2016-06-15,../data/tiles/input_tile_lat_41.05902_lon_-91.03532_2016-06-15.npy,211.53060913085938,272.83673095703125,589.8877563476562,433.653076171875,4117.6630859375,1836.39794921875,832.1326293945312,2951.173583984375,2919.7958984375,1.747776877891738e-05,308.41339111328125,297.0465087890625,0.36734694242477417,0.02040816284716129,0.0,0.3571428656578064,0.0,0.0,0.030612245202064518,0.0,0.010204081423580648,0.0,0.0,0.0,0.4523879042353851,1951.0,0.5665869450295778,0.9800000190734864
