,fold,grid_fold,lon,lat,date,tile_file,ref_1,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,ref_10,ref_11,Rainf_f_tavg,SWdown_f_tavg,Tair_f_tavg,grassland_pasture,corn,soybean,deciduous_forest,evergreen_forest,developed_open_space,woody_wetlands,open_water,alfalfa,developed_low_intensity,developed_med_intensity,missing_reflectance,SIF,num_soundings,coarse_sif,fraction_valid
114,0,4,-93.51938615524162,42.76964099279871,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,261.32000732421875,319.67999267578125,671.760009765625,529.760009765625,3663.280029296875,2296.360107421875,1203.8399658203125,3001.919921875,2975.52001953125,5.3525880503002554e-05,297.11322021484375,294.77294921875,0.1599999964237213,0.03999999910593033,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000119209291,0.0,0.0,0.0,0.5291352227309458,273.0,0.38407375711919467,1.0
115,0,4,-93.51803868231545,42.76964099279871,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,357.0799865722656,510.6400146484375,934.52001953125,1000.6799926757812,3302.43994140625,3159.760009765625,2134.39990234375,3022.52001953125,2990.239990234375,5.359347414923832e-05,297.1239318847656,294.7709045410156,0.1599999964237213,0.03999999910593033,0.36000001430511475,0.0,0.0,0.3199999928474426,0.0,0.0,0.0,0.0,0.07999999821186066,0.0,0.28514866181983445,298.0,0.38407375711919467,1.0
123,0,4,-93.5207336281678,42.76829351987253,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,331.7826232910156,385.1304321289063,659.04345703125,581.478271484375,3146.652099609375,2492.21728515625,1565.0,3019.9130859375,2989.9130859375,5.349845014279708e-05,297.10003662109375,294.7768249511719,0.3913043439388275,0.4347825944423676,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304671764374,0.0,0.0,0.0,0.40150021405353226,253.0,0.38407375711919467,0.9200000166893004
125,0,4,-93.51803868231545,42.76829351987253,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,359.2173767089844,450.7826232910156,783.04345703125,775.0869750976562,3383.304443359375,2713.652099609375,1733.9130859375,3018.652099609375,2986.347900390625,5.363302989280783e-05,297.12139892578125,294.77264404296875,0.17391304671764374,0.17391304671764374,0.0,0.0,0.0,0.6086956262588501,0.0,0.0,0.0,0.0,0.0,0.0,0.3762905874082493,278.0,0.38407375711919467,0.9200000166893004
132,0,4,-93.52208110109396,42.76694604694635,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,486.521728515625,609.0869750976562,954.0,1076.6522216796877,2898.695556640625,3372.434814453125,2442.826171875,3041.608642578125,3008.260986328125,5.34684986632783e-05,297.08673095703125,294.7806701660156,0.0,0.21739129722118375,0.782608687877655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3191379812637662,171.0,0.38407375711919467,0.9200000166893004
133,0,4,-93.5207336281678,42.76694604694635,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,502.0833435058594,604.7083129882812,920.3333129882812,1027.3333740234377,2836.791748046875,3383.666748046875,2456.833251953125,3040.583251953125,3008.041748046875,5.353855158318766e-05,297.0975646972656,294.778564453125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30097384439990504,306.0,0.38407375711919467,0.959999978542328
134,0,4,-93.51938615524162,42.76694604694635,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,468.8800048828125,570.0800170898438,891.5999755859375,977.7999877929688,2788.840087890625,3307.47998046875,2392.760009765625,3040.760009765625,3007.159912109375,5.360561044653878e-05,297.1081848144531,294.7764892578125,0.03999999910593033,0.0,0.8399999737739563,0.0,0.0,0.119999997317791,0.0,0.0,0.0,0.0,0.0,0.0,0.3534714566680462,298.0,0.38407375711919467,1.0
135,0,4,-93.51803868231545,42.76694604694635,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,368.75,423.4583435058594,689.75,615.6666870117188,3145.208251953125,2481.375,1671.3333740234375,3028.791748046875,2995.458251953125,5.367264020605944e-05,297.1188049316406,294.7744140625,0.0833333358168602,0.375,0.3333333432674408,0.0,0.0,0.2083333283662796,0.0,0.0,0.0,0.0,0.0,0.0,0.5483320359389228,267.0,0.38407375711919467,0.959999978542328
142,0,4,-93.5207336281678,42.765598574020174,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,564.375,728.25,1155.2083740234375,1395.0416259765625,3154.666748046875,4024.875,2934.041748046875,3048.291748046875,3012.541748046875,5.3576823120238266e-05,297.0950927734375,294.7803039550781,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2067218934363962,299.0,0.38407375711919467,0.959999978542328
143,0,4,-93.51938615524162,42.765598574020174,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,559.6799926757811,702.4400024414062,1089.280029296875,1291.0400390625,2978.280029296875,3854.919921875,2858.1201171875,3046.47998046875,3010.0400390625,5.36454790562857e-05,297.1056823730469,294.7782287597656,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24478217907985014,277.0,0.38407375711919467,1.0
144,0,4,-93.51803868231545,42.765598574020174,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,342.7391357421875,481.3912963867188,879.95654296875,908.04345703125,3320.608642578125,2730.521728515625,1934.0869140625,3032.0869140625,3001.04345703125,5.37136584171094e-05,297.1164245605469,294.7761535644531,0.5652173757553101,0.0,0.0,0.0,0.0,0.17391304671764374,0.0,0.0,0.0,0.0,0.0,0.0,0.3848900307813592,230.0,0.38407375711919467,0.9200000166893004
152,0,4,-93.51938615524162,42.76425110109399,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,501.4347839355469,589.4347534179688,856.478271484375,980.2608642578124,2375.826171875,3571.0869140625,2957.04345703125,3056.78271484375,3021.260986328125,5.368787242332474e-05,297.1034240722656,294.7799987792969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1979659495792162,318.0,0.38407375711919467,0.9200000166893004
160,0,4,-93.52208110109396,42.76290362816781,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,559.4000244140625,654.0399780273438,922.2000122070312,1089.719970703125,2385.56005859375,3693.43994140625,3071.840087890625,3058.639892578125,3024.280029296875,5.3583724366035306e-05,297.0789489746094,294.78594970703125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13886169047085425,281.0,0.38407375711919467,1.0
