,fold,grid_fold,lon,lat,date,tile_file,ref_1,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,ref_10,ref_11,Rainf_f_tavg,SWdown_f_tavg,Tair_f_tavg,grassland_pasture,corn,soybean,deciduous_forest,evergreen_forest,developed_open_space,woody_wetlands,open_water,alfalfa,developed_low_intensity,developed_med_intensity,missing_reflectance,SIF,num_soundings,coarse_sif,fraction_valid
10,0,4,-93.52005989170472,42.76761978340944,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,405.4120788574219,503.7774658203125,843.7225341796875,871.6648559570312,3165.200439453125,2991.769287109375,2040.4945068359373,3028.217041015625,2996.46142578125,5.355722532840446e-05,297.10491943359375,294.77655029296875,0.13736264407634735,0.18131868541240687,0.3956044018268585,0.0,0.0,0.11263736337423325,0.0,0.0,0.14010989665985107,0.0054945056326687345,0.0054945056326687345,0.0,0.3746318020020013,3906.0,0.38407375711919467,0.9100000262260436
13,0,4,-93.52005989170472,42.76222989170471,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,408.0359191894531,476.157470703125,737.2706909179688,741.2762451171875,2755.25146484375,2848.7900390625,2134.207275390625,3041.3564453125,3008.57177734375,5.370618964661844e-05,297.0933837890625,294.7838439941406,0.055248618125915534,0.3701657354831696,0.4254143536090851,0.0,0.0,0.14088398218154907,0.0,0.0,0.008287292905151844,0.0,0.0,0.0,0.36966583921583895,4180.0,0.38407375711919467,0.9049999713897704
91,4,0,-90.54484010829529,41.30157,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,175.7350616455078,237.45974731445312,526.7012939453125,328.12725830078125,4375.244140625,1753.8726806640625,704.7012939453125,2927.91943359375,2904.82080078125,3.2595748052699485e-05,308.53277587890625,296.202392578125,0.033766232430934906,0.6701298952102661,0.2597402632236481,0.036363635212183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7483328248641277,1966.0,0.6163404570060853,0.962499976158142
95,4,0,-90.54484010829529,41.29618010829528,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,164.79188537597656,230.7189178466797,515.0594482421875,383.9945983886719,3678.14599609375,1712.4000244140625,756.6810913085938,2926.240478515625,2903.962158203125,3.2495034247403964e-05,308.4986267089844,296.2105407714844,0.07027027010917664,0.07837837934494019,0.2675675749778748,0.5837838053703308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503972838852297,1691.0,0.6163404570060853,0.9250000119209291
165,0,0,-91.04070989170471,41.05363010829529,2016-06-15,../data/tiles/input_tile_lat_41.05902_lon_-91.03532_2016-06-15.npy,166.53314208984375,223.29833984375,530.2265014648439,297.9309387207031,4565.013671875,1686.6187744140625,655.3701782226562,2949.745849609375,2919.10498046875,1.752696516632568e-05,308.39141845703125,297.0518493652344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700195936200044,6597.0,0.5665869450295778,0.9049999713897704
172,0,0,-91.02454021659055,41.04824021659057,2016-06-15,../data/tiles/input_tile_lat_41.05902_lon_-91.03532_2016-06-15.npy,289.92669677734375,328.5392761230469,603.4843139648438,424.26177978515625,3854.670166015625,2081.08642578125,981.0523681640624,2948.646484375,2918.931884765625,1.7782960640033707e-05,308.3127136230469,297.06085205078125,0.0052356021478772155,0.3298429250717163,0.6649214625358582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5792436878692664,6615.0,0.5665869450295778,0.9549999833106996
588,0,1,-90.43165021659055,45.95843010829528,2016-06-15,../data/tiles/input_tile_lat_45.96382_lon_-90.44243_2016-06-15.npy,158.7032928466797,207.7912139892578,476.71429443359375,323.5494384765625,2847.041259765625,1327.9560546875,624.9752807617188,2968.2197265625,2941.142822265625,5.769125709775835e-05,287.7340087890625,289.6131591796875,0.024725275114178658,0.0054945056326687345,0.0,0.3241758346557617,0.0054945056326687345,0.010989011265337469,0.14010989665985107,0.0054945056326687345,0.019230769947171208,0.0027472528163343672,0.0,0.0,0.3200582190837133,4921.0,0.4189775378098594,0.9100000262260436
683,4,3,-90.99219978340945,41.037459891704714,2016-06-15,../data/tiles/input_tile_lat_41.03207_lon_-90.98142_2016-06-15.npy,263.28192138671875,316.9973449707031,556.5638427734375,441.2366943359375,3307.140869140625,1922.0079345703125,933.8085327148438,2948.65966796875,2918.9521484375,1.8387790987617333e-05,308.09320068359375,297.0838928222656,0.005319148767739534,0.32180851697921753,0.6728723645210266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4362043984177513,6495.0,0.32297258070328955,0.9399999976158142
860,1,2,-88.35114978340944,40.018769783409425,2016-06-15,../data/tiles/input_tile_lat_40.00799_lon_-88.34037_2016-06-15.npy,379.0439453125,376.96978759765625,652.4752807617188,396.4038391113281,4225.10986328125,2292.662109375,1085.835205078125,2980.4697265625,2956.747314453125,3.9442496927222244e-05,297.46014404296875,296.6790466308594,0.008241758681833744,0.0,0.8928571343421936,0.0,0.0,0.030219780281186107,0.0,0.0,0.0,0.06868132203817368,0.0,0.0,0.8008481998125697,6231.0,0.7104835304690579,0.9100000262260436
862,1,2,-88.34037,40.018769783409425,2016-06-15,../data/tiles/input_tile_lat_40.00799_lon_-88.34037_2016-06-15.npy,241.9022521972656,246.3508758544922,444.80950927734375,250.2606506347656,4552.017578125,1573.37841796875,633.6867065429688,2973.56884765625,2951.451171875,3.972055128542706e-05,297.38043212890625,296.6708679199219,0.0,0.932330846786499,0.06766917556524278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7835383670238114,9072.0,0.7104835304690579,0.9975000023841858
