,fold,grid_fold,lon,lat,date,tile_file,ref_1,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,ref_10,ref_11,Rainf_f_tavg,SWdown_f_tavg,Tair_f_tavg,grassland_pasture,corn,soybean,deciduous_forest,evergreen_forest,developed_open_space,woody_wetlands,open_water,alfalfa,developed_low_intensity,developed_med_intensity,missing_reflectance,SIF,num_soundings,fraction_valid,fine_sif_file,fine_soundings_file
0,1,2,-89.66089000000001,40.54698,2016-06-15,../data/tiles/input_tile_lat_40.54698_lon_-89.66089_2016-06-15.npy,334.8828430175781,420.5369567871094,727.8780517578125,741.2550659179688,3019.880126953125,2275.293212890625,1364.9144287109375,3039.34814453125,3011.039794921875,2.452740227454342e-05,307.0246276855469,297.18719482421875,0.018590575084090236,0.021616946905851364,0.22481626272201535,0.08171205967664719,0.0,0.18633808195590973,0.03804582729935646,0.009943796321749687,0.002594033721834421,0.2520536184310913,0.10505836457014084,0.0,0.3709632933656032,35573.0,0.23129999999999995,../data/tiles/fine_sif_lat_40.54698_lon_-89.66089_2016-06-15.npy,../data/tiles/fine_soundings_lat_40.54698_lon_-89.66089_2016-06-15.npy
1,0,1,-93.32602,44.91279,2016-06-15,../data/tiles/input_tile_lat_44.91279_lon_-93.32602_2016-06-15.npy,385.7389221191406,439.5890197753906,666.9688110351562,619.6061401367188,2769.777587890625,1610.45166015625,1009.0639038085938,3029.623291015625,3005.342529296875,4.4275202526478104e-05,296.0298767089844,293.5419921875,0.0,0.0,0.0,0.0,0.0,0.24798792600631714,0.0,0.006036217324435711,0.0,0.4793762564659119,0.23440644145011905,0.0,0.1848091943387509,5737.0,0.1988,../data/tiles/fine_sif_lat_44.91279_lon_-93.32602_2016-06-15.npy,../data/tiles/fine_soundings_lat_44.91279_lon_-93.32602_2016-06-15.npy
2,1,4,-89.68784000000001,40.16969,2016-06-15,../data/tiles/input_tile_lat_40.16969_lon_-89.68784_2016-06-15.npy,403.0245971679688,496.6401672363281,803.2434692382812,874.8721313476562,3303.136962890625,2923.21630859375,1898.832763671875,3036.98681640625,3004.190185546875,2.278985266457312e-05,304.2421875,297.4367980957031,0.010655737482011318,0.3311475515365601,0.5565573573112488,0.0008196721319109201,0.0,0.032786883413791656,0.0,0.04672131314873696,0.0,0.015573770739138125,0.0,0.0,0.8553346112649288,12799.0,0.122,../data/tiles/fine_sif_lat_40.16969_lon_-89.68784_2016-06-15.npy,../data/tiles/fine_soundings_lat_40.16969_lon_-89.68784_2016-06-15.npy
3,4,0,-93.43382,42.406490000000005,2016-06-15,../data/tiles/input_tile_lat_42.40649_lon_-93.43382_2016-06-15.npy,301.4510803222656,343.60205078125,587.8807373046875,495.11370849609375,3284.90869140625,2281.841064453125,1461.392333984375,3034.289794921875,3008.084228515625,4.315910700825043e-05,297.3462829589844,295.1814270019531,0.020969245582818985,0.5447344183921814,0.3900279700756073,0.0,0.0,0.038676608353853226,0.0,0.0,0.0,0.0018639329355210066,0.003261882578954101,0.0,0.4819877150369009,32603.0,0.2146,../data/tiles/fine_sif_lat_42.40649_lon_-93.43382_2016-06-15.npy,../data/tiles/fine_soundings_lat_42.40649_lon_-93.43382_2016-06-15.npy
4,3,0,-92.19414,45.12839,2016-06-15,../data/tiles/input_tile_lat_45.12839_lon_-92.19414_2016-06-15.npy,243.27728271484372,302.9206848144531,621.4336547851562,522.3914794921875,3779.45849609375,2167.249267578125,1260.3673095703125,2971.42578125,2958.758056640625,5.41626759513747e-05,292.2713623046875,291.9085998535156,0.2418447732925415,0.2485939264297485,0.031496062874794006,0.2795275449752808,0.0005624297191388905,0.060179978609085076,0.0,0.0,0.1265466809272766,0.0016872890992090106,0.0,0.0,0.5922098165206063,12677.0,0.17779999999999996,../data/tiles/fine_sif_lat_45.12839_lon_-92.19414_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.12839_lon_-92.19414_2016-06-15.npy
5,3,1,-90.63107,41.49021,2016-06-15,../data/tiles/input_tile_lat_41.49021_lon_-90.63107_2016-06-15.npy,398.1549682617188,473.0115966796875,734.0729370117188,658.3681640625,2684.712646484375,1483.6390380859375,857.5119018554688,3013.793701171875,2992.15283203125,3.774613651330583e-05,309.656005859375,296.1726379394531,0.03944896534085274,0.0059486539103090754,0.0344395749270916,0.07983719557523727,0.0,0.08328115195035933,0.1853475272655487,0.2567313611507416,0.0,0.07232310622930528,0.12523481249809265,0.0215000007301569,0.6263076108925815,13170.0,0.3194,../data/tiles/fine_sif_lat_41.49021_lon_-90.63107_2016-06-15.npy,../data/tiles/fine_soundings_lat_41.49021_lon_-90.63107_2016-06-15.npy
6,4,4,-96.47910999999999,41.11292,2016-06-15,../data/tiles/input_tile_lat_41.11292_lon_-96.47911_2016-06-15.npy,381.6972961425781,435.1054382324219,685.3477172851562,621.540283203125,3629.786865234375,2400.644775390625,1415.14013671875,3025.377197265625,2989.364990234375,3.1115228921407834e-05,302.6019287109375,297.55096435546875,0.09418931603431703,0.5482661724090576,0.18275539577007294,0.05342080444097519,0.0,0.02108716033399105,0.014995314180850984,0.006560449954122305,0.0014058107044547794,0.0,0.0,0.0,0.6408074840400155,16229.0,0.21340000000000006,../data/tiles/fine_sif_lat_41.11292_lon_-96.47911_2016-06-15.npy,../data/tiles/fine_soundings_lat_41.11292_lon_-96.47911_2016-06-15.npy
7,0,0,-88.66376,40.088840000000005,2016-06-15,../data/tiles/input_tile_lat_40.08884_lon_-88.66376_2016-06-15.npy,379.9330749511719,397.6709289550781,619.6708984375,491.2374572753906,3725.8525390625,2299.52099609375,1345.780029296875,2992.702880859375,2966.8447265625,3.002823177666869e-05,299.3982849121094,296.7359924316406,0.0063745020888745785,0.6557769179344177,0.33147409558296204,0.0,0.0,0.004780876450240612,0.0,0.0,0.0,0.0015936255222186446,0.0,0.0012000000569969413,0.7388315412731412,10423.0,0.12549999999999994,../data/tiles/fine_sif_lat_40.08884_lon_-88.66376_2016-06-15.npy,../data/tiles/fine_soundings_lat_40.08884_lon_-88.66376_2016-06-15.npy
8,0,2,-96.39826,41.24767,2016-06-15,../data/tiles/input_tile_lat_41.24767_lon_-96.39826_2016-06-15.npy,364.5728454589844,480.3934020996094,857.6279907226562,790.7744750976562,4075.49462890625,2480.800048828125,1418.7308349609375,3011.019775390625,2972.07080078125,3.405290772207081e-05,301.9248046875,297.3304748535156,0.11934156715869905,0.26502057909965515,0.12921810150146484,0.03786008059978485,0.0,0.07983539253473282,0.0065843621268868455,0.0,0.0016460905317217114,0.2995884716510773,0.04609053581953049,0.059099998325109475,0.5645926878018256,11290.0,0.12150000000000005,../data/tiles/fine_sif_lat_41.24767_lon_-96.39826_2016-06-15.npy,../data/tiles/fine_soundings_lat_41.24767_lon_-96.39826_2016-06-15.npy
9,4,4,-92.03245,45.20924,2016-06-15,../data/tiles/input_tile_lat_45.20924_lon_-92.03245_2016-06-15.npy,226.4715118408203,306.3084716796875,681.9727172851562,450.55029296875,4859.3291015625,2031.3121337890625,998.7957763671876,2892.87646484375,2874.504150390625,5.5286840506596484e-05,291.7870178222656,291.7786865234375,0.119999997317791,0.09030303359031676,0.006666666828095913,0.6484848260879517,0.015757575631141663,0.04727272689342499,0.004242424387484789,0.000606060610152781,0.03818181902170181,0.000606060610152781,0.0,0.13109999895095825,0.8185345827444882,12176.0,0.16500000000000006,../data/tiles/fine_sif_lat_45.20924_lon_-92.03245_2016-06-15.npy,../data/tiles/fine_soundings_lat_45.20924_lon_-92.03245_2016-06-15.npy
